code,name,market,主力控盘日期,控盘程度,main_cost_value
002282,,002282.sz,NA,,NA
002283,,002283.sz,NA,,NA
002284,,002284.sz,NA,,NA
002285,,002285.sz,NA,,NA
002286,,002286.sz,NA,,NA
002287,,002287.sz,NA,,NA
002288,,002288.sz,NA,,NA
002289,,002289.sz,NA,,NA
002290,,002290.sz,NA,,NA
002291,,002291.sz,NA,,NA
002292,,002292.sz,NA,,NA
002293,,002293.sz,NA,,NA
002294,,002294.sz,NA,,NA
002295,,002295.sz,NA,,NA
002296,,002296.sz,NA,,NA
002297,,002297.sz,NA,,NA
002299,,002299.sz,NA,,NA
002300,,002300.sz,NA,,NA
002301,,002301.sz,NA,,NA
002302,,002302.sz,NA,,NA
002303,,002303.sz,NA,,NA
002304,,002304.sz,NA,,NA
002305,,002305.sz,NA,,NA
002306,,002306.sz,NA,,NA
002307,,002307.sz,NA,,NA
002309,,002309.sz,NA,,NA
002310,,002310.sz,NA,,NA
002311,,002311.sz,NA,,NA
002313,,002313.sz,NA,,NA
002314,,002314.sz,NA,,NA
002315,,002315.sz,NA,,NA
002316,,002316.sz,NA,,NA
002317,,002317.sz,NA,,NA
002318,,002318.sz,NA,,NA
002319,,002319.sz,NA,,NA
002320,,002320.sz,NA,,NA
002321,,002321.sz,NA,,NA
002322,,002322.sz,NA,,NA
002324,,002324.sz,NA,,NA
002325,,002325.sz,NA,,NA
002326,,002326.sz,NA,,NA
002327,,002327.sz,NA,,NA
002328,,002328.sz,NA,,NA
002329,,002329.sz,NA,,NA
002330,,002330.sz,NA,,NA
002331,,002331.sz,NA,,NA
002332,,002332.sz,NA,,NA
002333,,002333.sz,NA,,NA
002334,,002334.sz,NA,,NA
002336,,002336.sz,NA,,NA
002337,,002337.sz,NA,,NA
002338,,002338.sz,NA,,NA
002339,,002339.sz,NA,,NA
002340,,002340.sz,NA,,NA
002341,,002341.sz,NA,,NA
002342,,002342.sz,NA,,NA
002343,,002343.sz,NA,,NA
002344,,002344.sz,NA,,NA
002345,,002345.sz,NA,,NA
002346,,002346.sz,NA,,NA
002347,,002347.sz,NA,,NA
002348,,002348.sz,NA,,NA
002349,,002349.sz,NA,,NA
002350,,002350.sz,NA,,NA
002352,,002352.sz,NA,,NA
002353,,002353.sz,NA,,NA
002354,,002354.sz,NA,,NA
002355,,002355.sz,NA,,NA
002356,,002356.sz,NA,,NA
002357,,002357.sz,NA,,NA
002358,,002358.sz,NA,,NA
002359,,002359.sz,NA,,NA
002360,,002360.sz,NA,,NA
002361,,002361.sz,NA,,NA
002362,,002362.sz,NA,,NA
002363,,002363.sz,NA,,NA
002364,,002364.sz,NA,,NA
002365,,002365.sz,NA,,NA
002366,,002366.sz,NA,,NA
002367,,002367.sz,NA,,NA
002368,,002368.sz,NA,,NA
002369,,002369.sz,NA,,NA
002370,,002370.sz,NA,,NA
002371,,002371.sz,NA,,NA
002372,,002372.sz,NA,,NA
002373,,002373.sz,NA,,NA
002374,,002374.sz,NA,,NA
002375,,002375.sz,NA,,NA
002376,,002376.sz,NA,,NA
002377,,002377.sz,NA,,NA
002378,,002378.sz,NA,,NA
002379,,002379.sz,NA,,NA
002380,,002380.sz,NA,,NA
002381,,002381.sz,NA,,NA
002382,,002382.sz,NA,,NA
002383,,002383.sz,NA,,NA
002384,,002384.sz,NA,,NA
002385,,002385.sz,NA,,NA
